33 7939 (-221316,1101323) (-3541063,17621134)
33 7939 (-221314,1101324) (-3541063,17621134)
33 7939 (-221313,1101324) (-3541063,17621134)
33 7322 (-1372296,-342889) (-21956644,-5486304)
28 6808 (-683268,-1018302) (-10932366,-16292883)
30 6727 (-1372297,-342887) (-21956666,-5486272)
27 6231 (-724436,-1258648) (-11590881,-20138366)
27 6231 (-724436,-1258647) (-11590881,-20138366)
24 5663 (-1727137,1004255) (-27634177,16068138)
21 5077 (-1749343,-308723) (-27989525,-4939473)
